sample,total_count,cell_type,population,percentage
13,109488,cd8_t_cell,19994,18.261361975741632
13,109488,b_cell,10681,9.755406985240391
13,109488,monocyte,22073,20.16020020458863
13,109488,nk_cell,25043,22.872826245798628
14,92904,b_cell,6113,6.579910445190734
14,92904,monocyte,24463,26.331481959872555
14,92904,cd4_t_cell,27223,29.30229053646775
14,92904,cd8_t_cell,25851,27.825497287522605
14,92904,nk_cell,9254,9.960819770946355
15,102691,nk_cell,15753,15.340195343311489
15,102691,cd8_t_cell,21523,20.9589934853103
15,102691,b_cell,8261,8.044521915260344
15,102691,cd4_t_cell,36217,35.26793974155476
15,102691,monocyte,20937,20.388349514563107
16,95824,nk_cell,9432,9.843045583569879
16,95824,cd8_t_cell,22881,23.87815161128736
16,95824,b_cell,7433,7.756929370512607
16,95824,monocyte,22197,23.16434296209718
16,95824,cd4_t_cell,33881,35.35753047253298
17,98639,nk_cell,20739,21.02515232311763
17,98639,cd8_t_cell,20404,20.6855300641734
17,98639,monocyte,17865,18.111497480712497
17,98639,b_cell,3226,3.27051166374355
17,98639,cd4_t_cell,36405,36.90730846825292
18,101123,cd4_t_cell,32675,32.31213472701561
18,101123,cd8_t_cell,29520,29.1921719094568
18,101123,b_cell,3578,3.5382652808955433
18,101123,monocyte,19813,19.5929709363844
18,101123,nk_cell,15537,15.36445714624764
19,97405,cd8_t_cell,27175,27.89897849186387
19,97405,monocyte,20466,21.011241722704174
19,97405,cd4_t_cell,30759,31.57846106462707
19,97405,nk_cell,10983,11.275601868487243
19,97405,b_cell,8022,8.235716852317642
20,97228,nk_cell,18056,18.570782079236434
20,97228,cd8_t_cell,17469,17.96704652980623
20,97228,cd4_t_cell,32731,33.664170814991564
20,97228,b_cell,6382,6.563952770806764
20,97228,monocyte,22590,23.23404780515901
21,100750,monocyte,26971,26.770223325062037
21,100750,b_cell,10337,10.260049627791563
21,100750,cd8_t_cell,19144,19.001488833746897
21,100750,nk_cell,12763,12.667990074441688
21,100750,cd4_t_cell,31535,31.300248138957816
22,92670,b_cell,9563,10.319412970756447
22,92670,monocyte,16304,17.593611740584873
22,92670,cd4_t_cell,32814,35.40951764325024
22,92670,cd8_t_cell,22424,24.197690730549258
22,92670,nk_cell,11565,12.479766914859178
23,104960,nk_cell,15792,15.045731707317072
23,104960,monocyte,24320,23.170731707317074
23,104960,cd4_t_cell,29844,28.433689024390247
23,104960,b_cell,6924,6.596798780487805
23,104960,cd8_t_cell,28080,26.753048780487802
24,99969,monocyte,9645,9.647990877171923
24,99969,cd4_t_cell,35270,35.28093709049806
24,99969,nk_cell,19681,19.6871030019306
24,99969,cd8_t_cell,27821,27.829627184427174
24,99969,b_cell,7552,7.554341845972251
25,95534,cd8_t_cell,21407,22.407729185420898
25,95534,cd4_t_cell,30323,31.740532166558506
25,95534,b_cell,11714,12.261603198861138
25,95534,monocyte,11789,12.340109280465592
25,95534,nk_cell,20301,21.250026168693868
26,95777,cd8_t_cell,23786,24.834772440147425
26,95777,cd4_t_cell,34545,36.0681583261117
26,95777,monocyte,15581,16.267997535942868
26,95777,nk_cell,13929,14.543157543042692
26,95777,b_cell,7936,8.285914154755316
27,93164,nk_cell,18191,19.52578249109098
27,93164,cd8_t_cell,21268,22.828560388132754
27,93164,b_cell,8850,9.49937744193036
27,93164,monocyte,18776,20.153707440642307
27,93164,cd4_t_cell,26079,27.9925722382036
28,106062,monocyte,29251,27.579151816861835
28,106062,b_cell,11386,10.735230336972714
28,106062,nk_cell,8870,8.363032942995606
28,106062,cd4_t_cell,28400,26.77679093360487
28,106062,cd8_t_cell,28155,26.545793969564972
29,97156,cd8_t_cell,28476,29.309564000164684
29,97156,monocyte,15909,16.374696364609495
29,97156,cd4_t_cell,31305,32.22137593149162
29,97156,nk_cell,15860,16.324262011610195
29,97156,b_cell,5606,5.7701016921240065
30,93972,nk_cell,22317,23.748563401864384
30,93972,cd8_t_cell,25167,26.78138168816243
30,93972,monocyte,19638,20.897714212744223
30,93972,b_cell,6413,6.824373217554165
30,93972,cd4_t_cell,20437,21.747967479674795
31,106625,nk_cell,14167,13.286752637749121
31,106625,cd4_t_cell,31653,29.686283704572098
31,106625,cd8_t_cell,30482,28.588042203985932
31,106625,monocyte,23316,21.867291910902697
31,106625,b_cell,7007,6.571629542790153
32,101357,b_cell,11118,10.969148652781751
32,101357,cd4_t_cell,32582,32.14578174176425
32,101357,monocyte,17350,17.117712639482228
32,101357,cd8_t_cell,19704,19.440196533046556
32,101357,nk_cell,20603,20.327160432925204
33,93131,cd4_t_cell,24897,26.73331114236935
33,93131,nk_cell,15569,16.71731217317542
33,93131,b_cell,9054,9.721789737037078
33,93131,monocyte,11932,12.812060431005786
33,93131,cd8_t_cell,31679,34.015526516412365
34,103870,nk_cell,10994,10.584384326562049
34,103870,cd8_t_cell,26526,25.53769134495042
34,103870,monocyte,21284,20.49099836333879
34,103870,b_cell,8350,8.038894772311544
34,103870,cd4_t_cell,36716,35.3480311928372
35,94622,monocyte,15688,16.579653780304792
35,94622,cd4_t_cell,38264,40.4387985880662
35,94622,cd8_t_cell,28094,29.6907695884678
35,94622,nk_cell,7249,7.661009067658683
35,94622,b_cell,5327,5.629768975502525
36,103532,cd8_t_cell,29458,28.45303867403315
36,103532,nk_cell,16498,15.935169802573117
36,103532,b_cell,8635,8.34041648958776
36,103532,cd4_t_cell,31787,30.70258470810957
36,103532,monocyte,17154,16.568790325696405
37,92368,b_cell,8915,9.65161094751429
37,92368,monocyte,23510,25.45253767538542
37,92368,cd8_t_cell,21012,22.748137883249612
37,92368,cd4_t_cell,24564,26.593625498007967
37,92368,nk_cell,14367,15.554087995842716
38,98897,cd8_t_cell,18923,19.134048555567915
38,98897,b_cell,12062,12.196527700536922
38,98897,nk_cell,14376,14.536335783694145
38,98897,cd4_t_cell,33109,33.47826526588268
38,98897,monocyte,20427,20.65482269431833
39,107756,cd4_t_cell,35553,32.99398641374958
39,107756,monocyte,18809,17.45517650989272
39,107756,cd8_t_cell,26888,24.952670848955048
39,107756,b_cell,14634,13.580682282193102
39,107756,nk_cell,11872,11.017483945209547
40,105943,cd4_t_cell,25872,24.420679044391797
40,105943,nk_cell,18325,17.297037085980197
40,105943,monocyte,25016,23.612697393881614
40,105943,cd8_t_cell,25723,24.280037378590375
40,105943,b_cell,11007,10.389549097156017
41,91358,monocyte,19241,21.061100286783862
41,91358,cd8_t_cell,23517,25.74158803826704
41,91358,cd4_t_cell,22586,24.72252019527573
41,91358,b_cell,11583,12.678692615862868
41,91358,nk_cell,14431,15.796098863810503
42,111631,cd4_t_cell,41403,37.089159821196624
42,111631,b_cell,12118,10.855407548082521
42,111631,cd8_t_cell,22342,20.014153774489166
42,111631,nk_cell,18660,16.71578683340649
42,111631,monocyte,17108,15.325492022825202
43,104827,cd4_t_cell,36392,34.71624676848522
43,104827,b_cell,4750,4.531275339368674
43,104827,nk_cell,15769,15.042880174000972
43,104827,monocyte,24363,23.241149703797685
43,104827,cd8_t_cell,23553,22.468448014347448
44,106034,nk_cell,13972,13.176905520870664
44,106034,cd4_t_cell,37025,34.91804515532754
44,106034,cd8_t_cell,25351,23.908369013712583
44,106034,b_cell,15793,14.894279193466248
44,106034,monocyte,13893,13.10240111662297
45,104473,cd8_t_cell,26314,25.187368985288067
45,104473,b_cell,13792,13.201497037512084
45,104473,cd4_t_cell,33714,32.27053879949843
45,104473,monocyte,13548,12.967943870665147
45,104473,nk_cell,17105,16.372651307036268
46,105731,cd8_t_cell,25456,24.076193358617623
46,105731,cd4_t_cell,29221,27.637116834230262
46,105731,b_cell,7726,7.307223047166866
46,105731,monocyte,25427,24.04876526278953
46,105731,nk_cell,17901,16.930701497195713
47,93338,b_cell,8249,8.837772397094431
47,93338,cd4_t_cell,37597,40.28048597570121
47,93338,monocyte,15869,17.001649917504125
47,93338,nk_cell,11057,11.846193404615484
47,93338,cd8_t_cell,20566,22.033898305084744
48,105178,nk_cell,10330,9.821445549449505
48,105178,monocyte,17485,16.62419897697237
48,105178,cd8_t_cell,32565,30.961798094658576
48,105178,b_cell,13648,12.976097663009375
48,105178,cd4_t_cell,31150,29.61645971591017
49,104513,cd8_t_cell,20811,19.91235540076354
49,104513,nk_cell,21731,20.792628668203957
49,104513,b_cell,11419,10.92591352271966
49,104513,cd4_t_cell,29883,28.592615272741188
49,104513,monocyte,20669,19.776487135571653
50,106504,monocyte,12899,12.111282205363178
50,106504,nk_cell,13959,13.10654998873282
50,106504,cd8_t_cell,32701,30.704011116953357
50,106504,b_cell,14113,13.251145496882746
50,106504,cd4_t_cell,32832,30.827011192067904
51,88918,cd4_t_cell,25644,28.840054882026134
51,88918,cd8_t_cell,21622,24.316786252502308
51,88918,monocyte,19209,21.603050001124632
51,88918,nk_cell,12678,14.258080478643246
51,88918,b_cell,9765,10.982028385703682
52,95942,b_cell,11122,11.592420420670821
52,95942,monocyte,20577,21.44733276354464
52,95942,nk_cell,11639,12.131287652956994
52,95942,cd4_t_cell,21886,22.811698734652186
52,95942,cd8_t_cell,30718,32.017260428175355
53,99135,nk_cell,7432,7.496847732889495
53,99135,cd8_t_cell,26750,26.983406465930297
53,99135,monocyte,22544,22.74070711655823
53,99135,cd4_t_cell,30587,30.85388611489383
53,99135,b_cell,11822,11.925152569728148
54,99486,cd8_t_cell,26235,26.37054459924009
54,99486,monocyte,20742,20.849164706591882
54,99486,cd4_t_cell,26399,26.535391914440222
54,99486,nk_cell,18328,18.422692640170478
54,99486,b_cell,7782,7.822206139557325
55,101344,monocyte,16223,16.00785443637512
55,101344,nk_cell,15392,15.18787496053047
55,101344,cd8_t_cell,23172,22.864698452794443
55,101344,b_cell,11645,11.490566782443953
55,101344,cd4_t_cell,34912,34.44900536785602
56,92361,cd4_t_cell,24674,26.71473890494906
56,92361,monocyte,20094,21.75593594699061
56,92361,nk_cell,17791,19.262459263108887
56,92361,b_cell,11022,11.933608341182966
56,92361,cd8_t_cell,18780,20.333257543768475
57,111127,nk_cell,11254,10.127151817290128
57,111127,monocyte,23819,21.434034933004583
57,111127,cd4_t_cell,40906,36.810136150530475
57,111127,b_cell,15157,13.639349573011058
57,111127,cd8_t_cell,19991,17.98932752616376
58,93201,nk_cell,16299,17.488009785302733
58,93201,cd8_t_cell,20389,21.876374717009476
58,93201,cd4_t_cell,28561,30.644520981534534
58,93201,b_cell,10510,11.276703039666955
58,93201,monocyte,17442,18.714391476486302
59,108944,nk_cell,14244,13.074607137611984
59,108944,b_cell,17545,16.104604200323102
59,108944,cd8_t_cell,24675,22.649250991335
59,108944,cd4_t_cell,33022,30.31098546042003
59,108944,monocyte,19458,17.860552210309883
60,103534,cd4_t_cell,38817,37.49203160314486
60,103534,nk_cell,14559,14.062047250178686
60,103534,monocyte,17717,17.11225297969749
60,103534,cd8_t_cell,21406,20.67533370680163
60,103534,b_cell,11035,10.658334460177334
61,111970,cd4_t_cell,38281,34.18862195230866
61,111970,monocyte,18301,16.34455657765473
61,111970,cd8_t_cell,34867,31.139590961864783
61,111970,b_cell,4508,4.026078413860856
61,111970,nk_cell,16013,14.301152094310975
62,95286,monocyte,26057,27.346094914258128
62,95286,b_cell,10066,10.563986314883614
62,95286,nk_cell,17505,18.37100938228071
62,95286,cd4_t_cell,21554,22.620321978045045
62,95286,cd8_t_cell,20104,21.098587410532502
63,93940,cd4_t_cell,29335,31.22737917819885
63,93940,monocyte,14501,15.436448797104536
63,93940,b_cell,7236,7.702789014264424
63,93940,cd8_t_cell,32409,34.49968064722163
63,93940,nk_cell,10459,11.13370236321056
64,109577,b_cell,10199,9.307610173667832
64,109577,cd4_t_cell,33535,30.60405012000694
64,109577,monocyte,24701,22.542139317557517
64,109577,cd8_t_cell,24842,22.670815955903155
64,109577,nk_cell,16300,14.87538443286456
65,92559,b_cell,8425,9.102302315279983
65,92559,cd8_t_cell,28293,30.567529899847667
65,92559,nk_cell,12096,13.068421223219783
65,92559,monocyte,18995,20.52204539807042
65,92559,cd4_t_cell,24750,26.739701163582147
66,107284,nk_cell,13927,12.981432459639835
66,107284,cd4_t_cell,37350,34.81413817531039
66,107284,monocyte,12632,11.774355915141122
66,107284,cd8_t_cell,35323,32.92476044890198
66,107284,b_cell,8052,7.505313001006673
67,107589,nk_cell,21402,19.892368178903048
67,107589,cd8_t_cell,24116,22.41493089442229
67,107589,cd4_t_cell,29460,27.381981429328277
67,107589,monocyte,20737,19.27427525118739
67,107589,b_cell,11874,11.036444246158993
68,110245,cd4_t_cell,35458,32.16290988253436
68,110245,monocyte,23088,20.94244636944986
68,110245,cd8_t_cell,33801,30.659893872737992
68,110245,nk_cell,7397,6.709601342464511
68,110245,b_cell,10501,9.52514853281328
69,110094,b_cell,11742,10.665431358657147
69,110094,cd8_t_cell,30825,27.998801024578995
69,110094,nk_cell,12904,11.720893055025705
69,110094,monocyte,19536,17.744836230857267
69,110094,cd4_t_cell,35087,31.870038330880885
70,97532,monocyte,19761,20.2610425296313
70,97532,b_cell,9131,9.362055530492556
70,97532,cd4_t_cell,31460,32.256080055776565
70,97532,cd8_t_cell,21272,21.81027765246278
70,97532,nk_cell,15908,16.310544231636793
71,96197,cd4_t_cell,36013,37.43671840078173
71,96197,b_cell,5029,5.227813757185775
71,96197,cd8_t_cell,19587,20.36134182978679
71,96197,nk_cell,19596,20.37069763090325
71,96197,monocyte,15972,16.603428381342454
72,93613,monocyte,19301,20.617862903656544
72,93613,b_cell,8730,9.325627850832683
72,93613,cd8_t_cell,26500,28.308034140557403
72,93613,nk_cell,16601,17.733648104429943
72,93613,cd4_t_cell,22481,24.014827000523432
73,104898,cd8_t_cell,28944,27.592518446490878
73,104898,cd4_t_cell,26510,25.272169154797997
73,104898,b_cell,10426,9.939179011992602
73,104898,monocyte,19567,18.653358500638717
73,104898,nk_cell,19451,18.542774886079812
74,92232,nk_cell,15559,16.869416254662156
74,92232,cd8_t_cell,18608,20.175210339144765
74,92232,b_cell,13166,14.274872061757307
74,92232,cd4_t_cell,33699,36.53721051262035
74,92232,monocyte,11200,12.143290831815422
75,104711,nk_cell,14983,14.308907373628369
75,104711,cd8_t_cell,26460,25.269551432036746
75,104711,b_cell,14480,13.828537593949058
75,104711,cd4_t_cell,33149,31.65760999321943
75,104711,monocyte,15639,14.935393607166391
76,110097,b_cell,12385,11.24917118540923
76,110097,monocyte,20907,18.989618245728767
76,110097,cd4_t_cell,37340,33.9155471992879
76,110097,cd8_t_cell,23764,21.58460266855591
76,110097,nk_cell,15701,14.261060701018193
77,105432,cd8_t_cell,18744,17.77828363305258
77,105432,monocyte,17956,17.030882464526897
77,105432,nk_cell,16602,15.746642385613477
77,105432,cd4_t_cell,42528,40.33689961302072
77,105432,b_cell,9602,9.107291903786328
78,107869,nk_cell,18744,17.37663276752357
78,107869,cd8_t_cell,32983,30.57690346624146
78,107869,cd4_t_cell,26856,24.896865642584988
78,107869,monocyte,23663,21.936793703473658
78,107869,b_cell,5623,5.212804420176325
79,99165,b_cell,5792,5.840770433116523
79,99165,cd8_t_cell,32012,32.28155095043614
79,99165,cd4_t_cell,32123,32.393485604800084
79,99165,monocyte,18446,18.601321030605554
79,99165,nk_cell,10792,10.8828719810417
80,95727,b_cell,5519,5.765353557512509
80,95727,cd8_t_cell,22834,23.85324934449006
80,95727,cd4_t_cell,31007,32.391070439896794
80,95727,nk_cell,17450,18.22892182978679
80,95727,monocyte,18917,19.76140482831385
81,93286,cd8_t_cell,18940,20.303153742255002
81,93286,monocyte,18924,20.286002186823318
81,93286,nk_cell,14582,15.631498831550287
81,93286,cd4_t_cell,31245,33.49377184143387
81,93286,b_cell,9595,10.285573397937526
82,103389,cd4_t_cell,30549,29.547630792444068
82,103389,nk_cell,17900,17.313253827776652
82,103389,monocyte,17682,17.102399675013782
82,103389,cd8_t_cell,31190,30.167619379237635
82,103389,b_cell,6068,5.8690963255278605
83,88242,nk_cell,16442,18.632850570023347
83,88242,monocyte,17528,19.863557036331905
83,88242,cd4_t_cell,23762,26.9282201219374
83,88242,cd8_t_cell,23204,26.295868180684934
83,88242,b_cell,7306,8.279504091022416
84,100815,monocyte,18881,18.728363834746816
84,100815,cd4_t_cell,28340,28.110896196002578
84,100815,b_cell,10469,10.384367405644001
84,100815,nk_cell,18128,17.981451172940535
84,100815,cd8_t_cell,24997,24.794921390666072
85,102542,b_cell,13770,13.428643872754579
85,102542,cd4_t_cell,26218,25.568059916912095
85,102542,cd8_t_cell,32384,31.581205749839093
85,102542,monocyte,12907,12.587037506582668
85,102542,nk_cell,17263,16.835052953911568
86,105610,b_cell,12479,11.816115898115708
86,105610,cd4_t_cell,31475,29.803048953697562
86,105610,monocyte,16664,15.778808824921883
86,105610,nk_cell,26652,25.23624656755989
86,105610,cd8_t_cell,18340,17.365779755704953
87,91946,b_cell,5686,6.184064559632827
87,91946,cd8_t_cell,21892,23.809627389989778
87,91946,cd4_t_cell,26848,29.199747677984906
87,91946,monocyte,25096,27.29428142605442
87,91946,nk_cell,12424,13.51227894633807
88,101732,monocyte,20748,20.394762709865137
88,101732,nk_cell,18993,18.669641803955493
88,101732,b_cell,6883,6.765816065741359
88,101732,cd8_t_cell,23831,23.425274249990167
88,101732,cd4_t_cell,31277,30.744505170447844
89,107271,b_cell,14432,13.453775950629712
89,107271,monocyte,22063,20.567534561997185
89,107271,nk_cell,15290,14.253619337938492
89,107271,cd8_t_cell,23729,22.120610416608404
89,107271,cd4_t_cell,31757,29.604459732826204
90,102290,nk_cell,18101,17.695766937139506
90,102290,cd8_t_cell,20490,20.031283605435526
90,102290,cd4_t_cell,26759,26.15993743278913
90,102290,monocyte,23448,22.923061882882003
90,102290,b_cell,13492,13.189950141753837
91,102598,cd4_t_cell,33782,32.926567769352225
91,102598,nk_cell,17885,17.432113686426636
91,102598,b_cell,4652,4.5342014464219575
91,102598,monocyte,15790,15.390163550946411
91,102598,cd8_t_cell,30489,29.716953546852764
92,113429,monocyte,23268,20.51327261987675
92,113429,b_cell,7510,6.6208817850814174
92,113429,nk_cell,22559,19.888212009274525
92,113429,cd8_t_cell,22955,20.23732907810172
92,113429,cd4_t_cell,37137,32.74030450766559
93,109064,monocyte,16745,15.353370498056188
93,109064,b_cell,8676,7.954962224015256
93,109064,nk_cell,27470,25.187046138047386
93,109064,cd8_t_cell,22893,20.990427638817575
93,109064,cd4_t_cell,33280,30.5141935010636
94,102270,cd4_t_cell,23802,23.273687298327957
94,102270,monocyte,25885,25.31045272318373
94,102270,b_cell,13462,13.163195462990124
94,102270,nk_cell,19233,18.806101496039894
94,102270,cd8_t_cell,19888,19.446563019458296
95,93081,b_cell,4896,5.2599348954136715
95,93081,monocyte,27838,29.907285052803473
95,93081,cd4_t_cell,17746,19.065115329659115
95,93081,cd8_t_cell,29022,31.179295452347954
95,93081,nk_cell,13579,14.588369269775786
96,108158,cd8_t_cell,29369,27.153793524288538
96,108158,cd4_t_cell,31047,28.705227537491446
96,108158,nk_cell,13509,12.49006083692376
96,108158,b_cell,8717,8.059505538194124
96,108158,monocyte,25516,23.59141256310213
97,100776,monocyte,26747,26.541041517821707
97,100776,nk_cell,11004,10.91926649202191
97,100776,b_cell,11469,11.380685877589903
97,100776,cd4_t_cell,25644,25.446534889259347
97,100776,cd8_t_cell,25912,25.712471223307137
98,105304,nk_cell,14459,13.730722479677885
98,105304,b_cell,10482,9.95403783332067
98,105304,monocyte,23494,22.31064347033351
98,105304,cd4_t_cell,31326,29.748157714806656
98,105304,cd8_t_cell,25543,24.256438501861275
99,107859,cd4_t_cell,30346,28.13487979677171
99,107859,monocyte,16250,15.065965751583086
99,107859,nk_cell,18392,17.051891821730223
99,107859,b_cell,12589,11.67171955979566
99,107859,cd8_t_cell,30282,28.075543070119323
100,106648,nk_cell,19335,18.12973520366064
100,106648,monocyte,17589,16.49257370039757
100,106648,b_cell,12923,12.117433050783886
100,106648,cd4_t_cell,32069,30.06994974120471
100,106648,cd8_t_cell,24732,23.19030830395319
101,100154,cd4_t_cell,23455,23.418934840345866
101,100154,b_cell,18583,18.554426183677137
101,100154,nk_cell,11925,11.90666373784372
101,100154,monocyte,17677,17.6498192783114
101,100154,cd8_t_cell,28514,28.470155959821874
102,102212,cd4_t_cell,30765,30.099205572731186
102,102212,nk_cell,16631,16.27108363010214
102,102212,cd8_t_cell,15936,15.591124329824288
102,102212,monocyte,22541,22.053183579227486
102,102212,b_cell,16339,15.9854028881149
103,109022,cd4_t_cell,40757,37.38419768487095
103,109022,cd8_t_cell,29598,27.14864889655299
103,109022,b_cell,8845,8.113041404487168
103,109022,monocyte,20436,18.744840490910093
103,109022,nk_cell,9386,8.609271523178808
104,110049,nk_cell,22843,20.75711728411889
104,110049,cd4_t_cell,37678,34.237476033403304
104,110049,cd8_t_cell,22323,20.284600496142627
104,110049,b_cell,7005,6.365346345718725
104,110049,monocyte,20200,18.355459840616454
105,97807,cd8_t_cell,20879,21.347142842536833
105,97807,monocyte,24268,24.812130011144397
105,97807,cd4_t_cell,27062,27.66877626345763
105,97807,nk_cell,14944,15.27907000521435
105,97807,b_cell,10654,10.892880877646794
106,93933,cd8_t_cell,17211,18.32263421800645
106,93933,monocyte,19680,20.951103446073265
106,93933,nk_cell,15182,16.162583969425015
106,93933,b_cell,10373,11.042977441367784
106,93933,cd4_t_cell,31487,33.520700925127485
107,102371,b_cell,17623,17.214836232917524
107,102371,cd4_t_cell,41127,40.17446347110021
107,102371,cd8_t_cell,22928,22.39696789129734
107,102371,monocyte,10158,9.922732023717655
107,102371,nk_cell,10535,10.291000380967267
108,97245,nk_cell,17005,17.486760244742662
108,97245,b_cell,4983,5.124170908530001
108,97245,cd4_t_cell,26215,26.957684199701788
108,97245,monocyte,21483,22.091624248033316
108,97245,cd8_t_cell,27559,28.339760398992237
109,104944,monocyte,14045,13.383328251257815
109,104944,cd4_t_cell,37336,35.57706967525537
109,104944,cd8_t_cell,20448,19.48467754230828
109,104944,b_cell,13509,12.87257966153377
109,104944,nk_cell,19606,18.682344869644762
110,97311,monocyte,14957,15.3703075705727
110,97311,cd4_t_cell,34048,34.98885018137724
110,97311,cd8_t_cell,23447,24.09491218875564
110,97311,b_cell,11477,11.794144546865205
110,97311,nk_cell,13382,13.75178551242922
111,102821,cd4_t_cell,35615,34.63786580562336
111,102821,nk_cell,15400,14.977485144085353
111,102821,cd8_t_cell,23376,22.73465537195709
111,102821,monocyte,12438,12.096750663774909
111,102821,b_cell,15992,15.553243014559282
112,99754,cd4_t_cell,32544,32.62425566894561
112,99754,nk_cell,12267,12.297251238045593
112,99754,cd8_t_cell,25296,25.358381618782204
112,99754,monocyte,21547,21.60013633538505
112,99754,b_cell,8100,8.11997513884155
113,108308,monocyte,26475,24.444177715404216
113,108308,cd4_t_cell,33746,31.157439893636667
113,108308,nk_cell,10391,9.59393581268235
113,108308,cd8_t_cell,28919,26.700705395723308
113,108308,b_cell,8777,8.10374118255346
114,106352,nk_cell,18088,17.007672634271103
114,106352,cd8_t_cell,28857,27.13348126974575
114,106352,b_cell,13741,12.920302392056568
114,106352,cd4_t_cell,31383,29.508612908078835
114,106352,monocyte,14283,13.42993079584775
115,92639,cd4_t_cell,29410,31.746888459504095
115,92639,b_cell,5722,6.176664255874956
115,92639,monocyte,19301,20.834637679594987
115,92639,cd8_t_cell,23044,24.875052623625038
115,92639,nk_cell,15162,16.366756981400922
116,99836,cd4_t_cell,39506,39.5708962698826
116,99836,cd8_t_cell,18835,18.865940141832603
116,99836,b_cell,6304,6.314355543090669
116,99836,monocyte,15765,15.790897071196763
116,99836,nk_cell,19426,19.457910973997354
117,93271,nk_cell,13853,14.852419294314418
117,93271,monocyte,18522,19.85826248244363
117,93271,cd8_t_cell,28864,30.946382048010634
117,93271,b_cell,8561,9.178630013616235
117,93271,cd4_t_cell,23471,25.16430616161508
118,96176,nk_cell,17439,18.132382299118284
118,96176,cd8_t_cell,28113,29.23078522708368
118,96176,monocyte,16145,16.7869322908002
118,96176,cd4_t_cell,26165,27.205331891532193
118,96176,b_cell,8314,8.644568291465646
119,109329,nk_cell,15664,14.327397122446925
119,109329,monocyte,29544,27.023022253930794
119,109329,cd4_t_cell,29357,26.851978889407203
119,109329,b_cell,10519,9.621417922051789
119,109329,cd8_t_cell,24245,22.176183812163288
120,99469,cd8_t_cell,25850,25.98799626014135
120,99469,nk_cell,18999,19.100423247443928
120,99469,monocyte,21026,21.13824407604379
120,99469,cd4_t_cell,28293,28.444037840935366
120,99469,b_cell,5301,5.329298575435563
121,100448,cd8_t_cell,23796,23.68986938515451
121,100448,b_cell,6109,6.081753743230328
121,100448,cd4_t_cell,28027,27.901999044281617
121,100448,monocyte,23633,23.52759636827015
121,100448,nk_cell,18883,18.798781459063395
122,102361,b_cell,9758,9.532927579839978
122,102361,cd8_t_cell,28775,28.11129238674886
